date,time,test,negative,confirmed,released,deceased,indi_test,indi_confirmed
2020-01-20,16,1,0,1,0,0,1,1
2020-01-21,16,1,0,1,0,0,0,0
2020-01-22,16,4,3,1,0,0,3,0
2020-01-23,16,22,21,1,0,0,18,0
2020-01-24,16,27,25,2,0,0,5,1
2020-01-25,16,27,25,2,0,0,0,0
2020-01-26,16,51,47,3,0,0,24,1
2020-01-27,16,61,56,4,0,0,10,1
2020-01-28,16,116,97,4,0,0,55,0
2020-01-29,16,187,155,4,0,0,71,0
2020-01-30,16,246,199,6,0,0,59,2
2020-01-31,16,312,245,11,0,0,66,5
2020-02-01,16,371,289,12,0,0,59,1
2020-02-02,16,429,327,15,0,0,58,3
2020-02-03,16,490,414,15,0,0,61,0
2020-02-04,16,607,462,16,0,0,117,1
2020-02-05,16,714,522,18,1,0,107,2
2020-02-06,16,885,693,23,2,0,171,5
2020-02-07,16,1352,1001,24,2,0,467,1
2020-02-08,16,2097,1134,24,2,0,745,0
2020-02-09,16,2598,1683,27,3,0,501,3
2020-02-10,16,3110,2552,27,4,0,512,0
2020-02-11,16,4325,3535,28,4,0,1215,1
2020-02-12,16,5624,4811,28,7,0,1299,0
2020-02-13,16,6511,5921,28,7,0,887,0
2020-02-14,16,7242,6679,28,7,0,731,0
2020-02-15,16,7734,7148,28,9,0,492,0
2020-02-16,16,8161,7647,29,9,0,427,1
2020-02-17,16,8718,7980,30,10,0,557,1
2020-02-18,16,9772,8923,31,12,0,1054,1
2020-02-19,16,11173,9973,51,16,0,1401,20
2020-02-20,16,13202,11238,104,16,1,2029,53
2020-02-21,16,16400,13016,204,17,2,3198,100
2020-02-22,16,21586,15116,433,18,2,5186,229
2020-02-23,16,26179,17520,602,18,6,4593,169
2020-02-24,16,32756,20292,833,24,8,6577,231
2020-02-25,16,40304,25447,977,24,12,7548,144
2020-02-26,16,53553,31576,1261,24,12,13249,284
2020-02-27,16,66652,39318,1766,26,13,13099,505
2020-02-28,16,81167,48593,2337,27,13,14515,571
2020-02-29,16,94055,55723,3150,28,17,12888,813
2020-03-01,16,98921,61825,3736,30,18,4866,586
